Date,Open,High,Low,Close,Adj Close,Volume
2023-05-10,108.099998,110.669998,108.050003,110.190002,110.190002,78627600
2023-05-11,111.029999,113.279999,110.489998,112.180000,112.180000,74924800
2023-05-12,112.160004,112.639999,109.320000,110.260002,110.260002,49810100
2023-05-15,111.150002,112.290001,109.250000,111.199997,111.199997,53011100
2023-05-16,111.050003,114.790001,111.050003,113.400002,113.400002,71472900
2023-05-17,114.889999,115.830002,114.220001,115.500000,115.500000,65655200
2023-05-18,116.690002,118.599998,116.339996,118.150002,118.150002,73174100
2023-05-19,118.160004,118.309998,115.699997,116.250000,116.250000,54990200
2023-05-22,116.769997,116.769997,114.250000,115.010002,115.010002,70741100
2023-05-23,114.269997,117.139999,113.779999,114.989998,114.989998,67576300
2023-05-24,115.349998,117.339996,115.019997,116.750000,116.750000,63487900
2023-05-25,116.629997,116.870003,114.309998,115.000000,115.000000,66496700
2023-05-26,116.040001,121.500000,116.019997,120.110001,120.110001,96779900
2023-05-30,122.370003,122.919998,119.860001,121.660004,121.660004,64314800
2023-05-31,121.449997,122.040001,119.169998,120.580002,120.580002,72800800
2023-06-01,120.690002,123.489998,119.930000,122.769997,122.769997,54375100
2023-06-02,124.919998,126.389999,124.019997,124.250000,124.250000,61215000
2023-06-05,123.360001,125.800003,123.029999,125.300003,125.300003,47950100
2023-06-06,125.070000,127.400002,125.000000,126.610001,126.610001,45695200
2023-06-07,127.010002,127.370003,120.629997,121.230003,121.230003,95663300
2023-06-08,123.010002,125.629997,122.260002,124.250000,124.250000,62159300
2023-06-09,124.080002,125.800003,123.190002,123.430000,123.430000,51330000
2023-06-12,124.019997,126.779999,123.529999,126.570000,126.570000,51338000
2023-06-13,128.119995,128.410004,125.180000,126.660004,126.660004,50564800
2023-06-14,126.699997,126.949997,124.120003,126.419998,126.419998,52422500
2023-06-15,125.209999,127.690002,124.320000,127.110001,127.110001,60458500
2023-06-16,127.709999,127.900002,125.300003,125.489998,125.489998,84188100
2023-06-20,124.970001,127.250000,124.500000,125.779999,125.779999,56930100
2023-06-21,125.639999,126.730003,123.849998,124.830002,124.830002,52137700
